keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
마을,235,141,112,0.1753,0.3678,10.0876,101,57,44,134,84,68
역세권,209,110,92,0.144,0.3271,10.0853,104,57,45,105,53,47
방식,291,252,174,0.2723,0.4554,10.069,90,76,58,201,176,116
등을,264,228,142,0.2222,0.4131,10.069,111,95,54,153,133,88
전통시장,247,156,126,0.1972,0.3865,10.0605,86,53,48,161,103,78
고도화,281,234,164,0.2567,0.4397,10.0556,142,121,83,139,113,81
바이오,211,106,96,0.1502,0.3302,10.0547,98,53,49,113,53,47
기업,922,499,338,0.529,1.4429,10.0497,336,196,129,586,303,209
광역,242,162,123,0.1925,0.3787,10.0468,125,84,58,117,78,65
대학,258,164,140,0.2191,0.4038,10.0405,81,52,47,177,112,93
국가정원,128,50,46,0.072,0.2003,10.0386,41,20,20,87,30,26
있는,715,514,318,0.4977,1.1189,10.0357,279,208,131,436,306,187
경쟁력,307,259,205,0.3208,0.4804,10.035,151,127,91,156,132,114
성장,291,226,185,0.2895,0.4554,10.0202,150,122,99,141,104,86
여성,199,101,90,0.1408,0.3114,10.0185,59,38,34,140,63,56
설치,750,504,323,0.5055,1.1737,10.0159,283,190,128,467,314,195
권역별,246,179,132,0.2066,0.385,10.0088,122,83,58,124,96,74
산업단지,253,172,140,0.2191,0.3959,10.0052,112,74,58,141,98,82
교통,696,417,318,0.4977,1.0892,9.9946,259,167,128,437,250,190
민원,193,98,88,0.1377,0.302,9.9869,81,37,35,112,61,53
복합,264,201,157,0.2457,0.4131,9.9812,114,85,68,150,116,89
접근성,286,240,191,0.2989,0.4476,9.965,112,95,77,174,145,114
핵심,267,234,164,0.2567,0.4178,9.9649,92,81,64,175,153,100
향상,287,253,193,0.302,0.4491,9.9631,124,108,81,163,145,112
노후,267,197,165,0.2582,0.4178,9.9599,122,95,74,145,102,91
프로젝트,259,209,155,0.2426,0.4053,9.958,104,87,62,155,122,93
경북,93,50,31,0.0485,0.1455,9.9576,30,15,11,63,35,20
수도권,221,140,114,0.1784,0.3459,9.9566,101,59,47,120,81,67
축제,238,138,131,0.205,0.3725,9.9561,83,48,47,155,90,84
농산물,202,112,98,0.1534,0.3161,9.9504,77,42,39,125,70,59
첨단,245,169,140,0.2191,0.3834,9.9474,119,80,65,126,89,75
없는,265,210,167,0.2613,0.4147,9.9367,103,81,65,162,129,102
야간,239,156,136,0.2128,0.374,9.929,91,55,50,148,101,86
준공,214,167,111,0.1737,0.3349,9.9247,110,86,54,104,81,57
학교,233,150,131,0.205,0.3646,9.9177,89,51,44,144,99,87
유통,193,100,94,0.1471,0.302,9.9116,82,42,39,111,58,55
생활권,233,160,132,0.2066,0.3646,9.9106,103,72,60,130,88,72
육성,947,592,348,0.5446,1.482,9.9097,399,251,151,548,341,197
체계,742,559,328,0.5133,1.1612,9.9086,323,244,132,419,315,196
있음,103,68,37,0.0579,0.1612,9.9081,22,16,12,81,52,25
센터,246,185,148,0.2316,0.385,9.9056,86,72,59,160,113,89
착수,243,225,145,0.2269,0.3803,9.9015,81,76,48,162,149,97
특화,256,198,162,0.2535,0.4006,9.9002,110,89,75,146,109,87
따른,251,214,158,0.2473,0.3928,9.8859,114,93,69,137,121,89
브랜드,239,176,144,0.2254,0.374,9.8778,80,60,53,159,116,91
관광객,239,173,145,0.2269,0.374,9.8717,68,54,46,171,119,99
교육,1136,530,365,0.5712,1.7778,9.8714,486,226,154,650,304,211
해결,249,196,159,0.2488,0.3897,9.8664,93,73,59,156,123,100
태양광,189,110,95,0.1487,0.2958,9.8606,67,48,43,122,62,52
정비사업,153,75,68,0.1064,0.2394,9.8579,71,37,31,82,38,37
선정,251,217,164,0.2567,0.3928,9.8551,101,81,61,150,136,103
가능한,245,214,156,0.2441,0.3834,9.8535,103,91,71,142,123,85
농어촌,164,85,76,0.1189,0.2567,9.8526,58,28,27,106,57,49
자체,199,168,105,0.1643,0.3114,9.8484,96,79,50,103,89,55
인재,239,162,151,0.2363,0.374,9.8367,100,70,63,139,92,88
추가,231,188,141,0.2207,0.3615,9.8352,58,48,38,173,140,103
유입,257,233,178,0.2786,0.4022,9.8316,91,83,69,166,150,109
시대,220,163,129,0.2019,0.3443,9.828,89,67,54,131,96,75
실시,225,187,136,0.2128,0.3521,9.8201,82,71,49,143,116,87
소비,222,155,133,0.2081,0.3474,9.8162,88,55,51,134,100,82
시범,207,166,117,0.1831,0.3239,9.8108,72,56,40,135,110,77
대규모,233,196,148,0.2316,0.3646,9.8084,106,90,71,127,106,77
기술,209,150,120,0.1878,0.3271,9.8036,100,68,54,109,82,66
미래산업,173,100,87,0.1362,0.2707,9.7937,52,33,31,121,67,56
정원,133,64,58,0.0908,0.2081,9.7913,73,31,29,60,33,29
철도,200,119,113,0.1768,0.313,9.7823,80,55,53,120,64,60
